codigo;titulo;tipo;revisao;data_revisao;data_aprovacao;setor;area;elaborador;revisor;aprovador;numero;descricao;proxima_revisao;data_validade;documentos_controlados
DEX.057;Solicitação de procedimento LIMS (português);DEX;2;01/11/2021;03/11/2021;;;;;;;;03/02/2026;03/05/2026;Sim
DEX.058;General Specifications for Ventilation and air-conditionning in HMC Clean Rooms (Process Rooms);DEX;1;17/01/2019;17/01/2019;;;;;;;;09/02/2026;09/05/2026;Sim
DEX.059;Lab Product Resume - Produtos Calculados pelo ADOC;DEX;0;17/12/2021;27/12/2021;;;;;;;;27/09/2025;05/01/2026;Sim
DEX.060;Lab Product Resume - Produtos Calculados pelo SCG;DEX;0;17/12/2021;27/12/2021;;;;;;;;27/09/2025;05/01/2026;Sim
DEX.061;NR 10 - Segurança em Instalações e Serviços em Eletricidade;DEX;0;28/12/2021;28/12/2021;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.062;Lock-Out Tag-Out;DEX;0;28/12/2021;28/12/2021;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.063;Workplace Risk Assessment;DEX;0;28/12/2021;03/01/2022;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.064;Emergency Procedures;DEX;0;28/12/2021;28/12/2021;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.065;Fire Prevention and Response;DEX;1;28/12/2021;23/02/2022;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.066;Confined Spaces;DEX;1;28/12/2021;23/02/2022;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.067;Hot Work;DEX;1;28/12/2021;23/02/2022;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.068;Work at Height;DEX;1;28/12/2021;23/02/2022;;;;;;;;09/06/2026;08/09/2026;Sim
